Original_Qualification,Mapped_Category
Diploma in mathematics,Higher Education
Diploma in secretarial studies,Higher Education
Diploma of Education,Higher Education
"Diploma, French Lycée Secretarial School, London",Secondary Education
"Diploma, Master's",Higher Education
Diploma/Bachelor?,Higher Education
Diplomas,Higher Education
Diplome,Higher Education
Diplomingenieur,Higher Education
Diplomkaufmann,Higher Education
Diplomverwaltungsfachwirt,Higher Education
Diplomverwaltungsfachwirtin,Higher Education
Director,Professional/Vocational
Doc (ongoing),Higher Education
Doctor,Higher Education
Doctor (medical),Higher Education
Doctor Degree,Higher Education
Doctor of Laws,Higher Education
Doctor of Medicin and Surgery,Higher Education
Doctor of Medicine,Higher Education
Doctor of Medicine and Surgery,Higher Education
Doctor of laws,Higher Education
Doctor title,Higher Education
Doctor/Staatsexamen,Higher Education
Doctoral,Higher Education
Doctoral (medicine),Higher Education
Doctoral degree,Higher Education
Doctorat,Higher Education
Doctorate,Higher Education
Doctorate in education,Higher Education
Doctorated,Higher Education
Doctors Degree,Higher Education
Doktor,Higher Education
Dot.,Higher Education
Dpil. Kauffrau,Higher Education
Dr.,Higher Education
Dr. Ing.,Higher Education
Dr. in Geology,Higher Education
Dr. med.,Higher Education
Dr. phil.,Higher Education
Dr.'s Degree,Higher Education
Driver Training,Work-Based Learning
Dropped out of school at fourteen,No/Other Qualification
Early Years Course,Secondary Education
Economy,No/Other Qualification
Edinburgh School certificate,Secondary Education
Educator(Kindergarden),Work-Based Learning
"Educator, missionary in Romania",Professional/Vocational
Eighth grade,Secondary Education
Einzelhandelskaufmann,Work-Based Learning
Electrical Contractor Certificate,Professional/Vocational
Electrical Engineer,Professional/Vocational
Electrician,Professional/Vocational
Electrician Degree,Higher Education
Electrition,Professional/Vocational
Elementary,Secondary Education
Elementary School,Secondary Education
Elementary school,Secondary Education
Engineer,Professional/Vocational
Engineering,Higher Education
Engineering Course,Higher Education
Engineering Degree,Higher Education
Engineering apprentice,Work-Based Learning
Engineering degree,Higher Education
English Teacher,Professional/Vocational
English degree,Higher Education
Entrepreneur,No/Other Qualification
Environment Engineer,Professional/Vocational
Environmental Health,No/Other Qualification
Erstes Staatsexamen,Higher Education
Estate Agent,No/Other Qualification
FRICS,Professional/Vocational
Fach-Abi,Secondary Education
Fach-Abi & Bachelor,Higher Education
Fach-Abitur,Secondary Education
Fachabitur,Secondary Education
Facharbeiter,Work-Based Learning
Faculty of Arts,Higher Education
Farmer,Work-Based Learning
Farmer and Postman,Work-Based Learning
Feinwerkmechaniker,Work-Based Learning
Fellows of the Cartered Insurance of London,Professional/Vocational
Fifth form,Secondary Education
Final Degree Teaching Post,Higher Education
Financial Planner Certificate,Professional/Vocational
"Financial planning certificate, mortgage advice qualification",Professional/Vocational
Finans Okonom,Work-Based Learning
Fine Arts,Higher Education
Finished school,Secondary Education
Fire inspector,Work-Based Learning
First Aid,Work-Based Learning
First year college,Higher Education
Five GCSEs,Secondary Education
Folkeskole,Secondary Education
Folkskola,Secondary Education
Form 3,Secondary Education
Free lance Arts singing teacher,No/Other Qualification
GCB,Professional/Vocational
GCE,Secondary Education
"GCE's, A-levels",Secondary Education
GCES,Secondary Education
GCEs,Secondary Education
GCSCEs,Secondary Education
GCSE,Secondary Education
GCSE (Maths),Secondary Education
"GCSE , A/S-Levels",Secondary Education
GCSE's,Secondary Education
"GCSE's, A-Levels",Secondary Education
"GCSE's, NVQ",Professional/Vocational
"GCSE, A-Levels",Secondary Education
"GCSE, A/S-Levels",Secondary Education
"GCSE, AS-Levels",Secondary Education
"GCSE, AS/ A-Levels",Secondary Education
"GCSE, As-Levels",Secondary Education
"GCSE, As/A-Levels",Secondary Education
"GCSE, Btech Diploma (Leisure Studies)",Higher Education
"GCSE, NVQ (level 2)",Professional/Vocational
"GCSE, NVQ Level 4",Professional/Vocational
"GCSE, NVQ Level 5",Professional/Vocational
"GCSE, NVQ, BTEC, BA",Higher Education
"GCSE, two diplomas",Higher Education
"GCSES, A-levels, currently an undergraduate",Higher Education
GCSEs,Secondary Education
GCSEs and vocational classes,Professional/Vocational
"GCSEs, A-Levels, Diploma",Higher Education
"GCSEs, O-Levels",Secondary Education
"GCSEs, diploma, work training",Work-Based Learning
GED,Secondary Education
GEPS,Professional/Vocational
GNVQ,Professional/Vocational
GNVQ Media,Professional/Vocational
GOE,Professional/Vocational
GS 14,No/Other Qualification
GSCE,Secondary Education
GSCEs,Secondary Education
GSE,Secondary Education
Gemmologist and professional jeweller,Professional/Vocational
General Certificate of Education,Secondary Education
General Certificate of Secondary Education,Secondary Education
General certificate of secondary education,Secondary Education
General education,Secondary Education
Geography degree,Higher Education
Geologcal Chief,No/Other Qualification
Gimnazija Piran,Secondary Education
Government,No/Other Qualification
Grade 10,Secondary Education
Grade 11,Secondary Education
Grade 12,Secondary Education
Grade 8,Secondary Education
"Grade 8, Piano",Secondary Education
Grade School,Secondary Education
Grade school,Secondary Education
Grado Asociado,Higher Education
Grado Asociado,Higher Education
Graduate,Higher Education
Graduate school,Higher Education
Graduation,No/Other Qualification
Graduation (Engineer),Higher Education
Graduation (ME),Higher Education
Graduation Secondary School,Secondary Education
Grammar entry,Secondary Education
Grammar school degree,Secondary Education
Grammer School,Secondary Education
Grapes/vines,No/Other Qualification
Gymnasium,Secondary Education
Gymnasium University Degree,Higher Education
Gymnasium in Sweden,Secondary Education
HGV class,Work-Based Learning
HNC,Professional/Vocational
HNC Diploma,Professional/Vocational
HNC in Business Studies,Professional/Vocational
HNCN Business Studies,Professional/Vocational
HND,Professional/Vocational
HND (Business Studies),Professional/Vocational
HND *2,Professional/Vocational
HND Catering,Professional/Vocational
HND in Computer Studies,Professional/Vocational
"HND, College",Higher Education
HS Diploma,Secondary Education
HSC,Secondary Education
Handelsskole,Work-Based Learning
Hauptschulabschluss,Secondary Education
Hauptschule,Secondary Education
Higehst level at secondary school: four highers,Secondary Education
High School,Secondary Education
High School Diploma,Secondary Education
High School (Year 10),Secondary Education
High School / USMC,Professional/Vocational
High School / USN,Professional/Vocational
High School Degree and ongoing Bachelor,Higher Education
High School Diploma,Secondary Education
High School Diploma Degree in Adminstration,Higher Education
High School Diploma / CAE,Secondary Education
High School Diploma / Mechanic,Work-Based Learning
High School Diploma / classe pr�paratoire aux grandes �coles,Higher Education
"High School Diploma, Bachelor, French baccalaureat",Higher Education
"High School Diploma, Vocational Class: Electricity",Professional/Vocational
"High School Diploma, Vocational classes: Auto Mechanics",Professional/Vocational
"High School Diploma, Work Training: Data Entry Clerk",Work-Based Learning
"High School Diploma,Bachelor",Higher Education
"High School Diploma,Bachelor,Masters",Higher Education
"High School Diploma,Other (US military training)",Work-Based Learning
High School Diploma; Bachelor,Higher Education
High School Diploma; CaE Certificate,Secondary Education
High School Diploma; Work training,Work-Based Learning
High School degree,Secondary Education
High School diploma,Secondary Education
High School graduate,Secondary Education
High School of economics,Secondary Education
High School student,Secondary Education
High School student ??,Secondary Education
"High School, 2 year technical school",Work-Based Learning
"High School, Comercial Degree",Higher Education
"High School, Work Training",Work-Based Learning
"High School, studies in US Air Force",Secondary Education
"High School, vocational classes",Professional/Vocational
High school,Secondary Education
High School diploma,Secondary Education
High school Diploma,Secondary Education
High school Higher,Higher Education
High school Standard grade,Secondary Education
High school diploma,Secondary Education
"High school diploma, Bachelor",Higher Education
"High school diploma, some college",Higher Education
High school diploma; work-hostess internship training,Work-Based Learning
High school teacher,Higher Education
"High school, secondary school",Secondary Education
Higher,Secondary Education
Higher Certificate,Higher Education
Higher Diploma,Higher Education
Higher National Certificate,Professional/Vocational
Higher National Certificate (HNC),Professional/Vocational
Higher National Diploma,Professional/Vocational
Higher National Diploma (IT),Professional/Vocational
Higher SQA,Professional/Vocational
Higher School Certificate,Professional/Vocational
Higher Secondary,Secondary Education
Higher Secondary Certificate,Professional/Vocational
Higher diploma,Higher Education
Higher secondary,Secondary Education
"Higher, Bachelor",Higher Education
"Higher, HND",Professional/Vocational
Highers,Secondary Education
"Highers, Professional Qualification BA Equivalent",Higher Education
"Highers, Secondary School",Secondary Education
Highest level at SS (vermutlich secondary school),Secondary Education
Highest level at secondary school,Secondary Education
"Highest level at secondary school, Bachelor",Higher Education
Highest level at secondary school:  Advanced Higher; Master's,Higher Education
Highest level at secondary school: 6th year/Advanced Higher,Secondary Education
Highest level at secondary school: A-Level; MbChB,Higher Education
Highest level at secondary school: A-Levels,Secondary Education
Highest level at secondary school: Advanced Higher,Secondary Education
Highest level at secondary school: Advanced Higher; Bachelor,Higher Education
Highest level at secondary school: Advanced Higher; Bachelor; Master's,Higher Education
Highest level at secondary school: Advanced Higher; Master's,Higher Education
Highest level at secondary school: Advanced Higher; Master's; PhD,Higher Education
Highest level at secondary school: Four,Secondary Education
Highest level at secondary school: GCSE,Secondary Education
Highest level at secondary school: Higher,Secondary Education
Highest level at secondary school: Higher grades,Secondary Education
Highest level at secondary school: Higher; Other: College NC,Professional/Vocational
Highest level at secondary school: Highers,Secondary Education
Highest level at secondary school: Highers; Bachelor,Higher Education
Highest level at secondary school: Highers; RGN,Secondary Education
Highest level at secondary school: O-Grade,Secondary Education
Highest level at secondary school: SQA Highers; Bachelor,Higher Education
Highest level at secondary school: four highers,Secondary Education
Highest level at secondary school; HNC,Professional/Vocational
Highest level at secondary school; Master's,Higher Education
Highest level at secondary: Advanced higher; Bachelor,Higher Education
Highest level attained at secondary school,Secondary Education
Highest level attained at secondary school (Advanced Higher),Secondary Education
Highest level attained at secondary school (Highers),Secondary Education
"Highest level attained at secondary school (advancec highers), Bachelor",Higher Education
"Highest level attained at secondary school, PhD",Higher Education
Highest level attained at secondary school: 3 Highers,Secondary Education
Highest level attained at secondary school: Advanced Higher; Master's,Higher Education
Highest level attained at secondary school: College,Higher Education
Highest level attained at secondary school: GCSE; Bachelor,Higher Education
Highest level attained at secondary school: Higher; Bachelor,Higher Education
Highest level attained at secondary school: Highers,Secondary Education
Highest level attained at secondary school: Highers and Advanced; Master's,Higher Education
Highest level attained at secondary school: Highers; Bachelor,Higher Education
Highest level attained at secondary school: S4,Secondary Education
Highest level secondary school,Secondary Education
Highest level secondary school (A-Level),Secondary Education
Highest level secondary school (A-Levels),Secondary Education
Highest level secondary school (A-level),Secondary Education
Highest level secondary school (Advanced Higher),Secondary Education
"Highest level secondary school (Advanced Higher), Bachelor",Higher Education
"Highest level secondary school (Advanced Higher), Bachelor, Master's",Higher Education
"Highest level secondary school (Advanced Higher), English",Secondary Education
"Highest level secondary school (Advanced Higher), Master's",Higher Education
"Highest level secondary school (Advanced Higher), Other (HNC in architecture)",Professional/Vocational
"Highest level secondary school (Advanced Higher), Other (MBChB Year 2)",Higher Education
"Highest level secondary school (Advanced Highers), Bachelor (Medicine)",Higher Education
"Highest level secondary school (Advanced higher), Bachelor",Higher Education
"Highest level secondary school (Advanced higher), Other (HND)",Professional/Vocational
Highest level secondary school (Higher),Secondary Education
"Highest level secondary school (Higher), Bachelor of Dental Surgery",Higher Education
"Highest level secondary school (Higher), Other (HNC Sound prod.)",Professional/Vocational
Highest level secondary school (Highers Scottish),Secondary Education
Highest level secondary school (Highers),Secondary Education
"Highest level secondary school (Highers), Bachelor",Higher Education
"Highest level secondary school (Highers), Other (Business manager diploma)",Secondary Education
"Highest level secondary school (Highers), Other (HNC Accounting, HNC Computer data programming)",Professional/Vocational
Highest level secondary school (History A),Secondary Education
Highest level secondary school (National 5),Secondary Education
"Highest level secondary school (O-A-Level), Bachelor",Higher Education
Highest level secondary school (Scottish Highers),Secondary Education
Highest level secondary school (Standard grade),Secondary Education
Highest level secondary school (advanced higher),Secondary Education
Highest level secondary school (advanced higher) Bachelor of Dental Surgery,Secondary Education
"Highest level secondary school (advanced higher), bachelor",Higher Education
"Highest level secondary school (advanced highers), Bachelor",Higher Education
"Highest level secondary school (higher grade), Bachelor, other (PG certificate education)",Higher Education
"Highest level secondary school (shorthand), Other (financial planning)",Secondary Education
"Highest level secondary school, Bachelor",Higher Education
"Highest level secondary school, Bachelor, other (ND Mech Marine)",Higher Education
Highest level secondary school: Adv Highers,Secondary Education
Highest level secondary school: Highers,Secondary Education
Highschool,Secondary Education
Highschool Diploma,Secondary Education
History Degree,Higher Education
History Honours,Higher Education
HnD,Professional/Vocational
