Original_Language,NER_Result,Normalized_Language
"Hindi,Dogri/Jammu","Hindi,Dogri, Jammu","Hindi, Dogri, Jammu"
"Hindi,English","Hindi,English","Hindi, English"
"Hindi,Haryanvi","Hindi,Haryanvi","Hindi, Haryanvi"
"Hindi,Himachali","Hindi,Himachali","Hindi, Himachali"
"Hindi,Kinnauri","Hindi,Kinnauri","Hindi, Kinnauri"
"Hindi,Maithili","Hindi,Maithili","Hindi, Maithili"
"Hindi,Pahadi","Hindi,Pahadi","Hindi, Pahadi"
"Hindi,Pahari","Hindi,Pahari","Hindi, Pahari"
"Hindi,Punjabi","Hindi,Punjabi","Hindi, Punjabi"
"Hindi,Sirmauri-Tamkari","Hindi,Sirmauri-Tamkari","Hindi, Sirmauri-Tankari"
"Hindi,Sirmauri-Tankari","Hindi,Sirmauri-Tankari","Hindi, Sirmauri-Tankari"
"Hindi,Tamil","Hindi,Tamil","Hindi, Tamil"
"Hindi,unspecified",NA,Hindi
Hindu,Hindu,Hindi
Hungarian,Hungarian,Hungarian
Icelandic,Icelandic,Icelandic
Igbo,Igbo,Igbo
Ilocano,Ilocano,Ilocano
Indian,Indian,Indian
"Indian, English","Indian, English","Indian, English"
Irish,Irish,Irish
Irish English,Irish English,English
"Irish, English","Irish, English","Irish, English"
Islandic,Islandic,Icelandic
Italian,Italian,Italian
Italian and Maltese,"Italian, Maltese","Italian, Maltese"
"Italian, English","Italian, English","Italian, English"
"Italian, Maltese","Italian, Maltese","Italian, Maltese"
"Italian, Serbian, Croatian","Italian, Serbian, Croatian","Italian, Serbian, Croatian"
"Italian, Slovene","Italian, Slovene","Italian, Slovene"
"Italian, Slovenian, German","Italian, Slovenian, German","Italian, Slovenian, German"
"Italian, Venetian","Italian, Venetian","Italian, Venetian"
Italian/ English,"Italian, English","Italian, English"
Italien,Italien,Italian
Japanese,Japanese,Japanese
Jersey,Jersey,Jersey
"Jersey French, English","Jersey French, English","Jersey French, English"
Jèrriais,Jèrriais,Jèrriais
"Jèrriais, English","Jèrriais, English","Jèrriais, English"
Jérriais,Jérriais,Jèrriais
Kalenjin,Kalenjin,Kalenjin
Kashmiri,Kashmiri,Kashmiri
Kenyan,Kenyan,Kenyan
Korean,Korean,Korean
Kosovo,Kosovo,Kosovo
Kurdish,Kurdish,Kurdish
Ladakhi,Ladakhi,Ladakhi
Latvian,Latvian,Latvian
Le Masurier (?),Le Masurier,NA
Lebanese,Lebanese,Lebanese
"Lingala, French","Lingala, French","Lingala, French"
Macedonian,Macedonian,Macedonian
Maghi,Maghi,Maghi
Majorcan,Catalan,Catalan
Malagasy,Malagasy,Malagasy
Malayalam,Malayalam,Malayalam
Malaysian,Malaysian,Malaysian
Malese,Malese,Maltese
Mallorqui,Catalan,Catalan
Mallorquin,Catalan,Catalan
Mallorquin Catalan,Catalan,Catalan
Maltese,Maltese,Maltese
Maltese (talks English at home),"Maltese, English","Maltese, English"
Maltese (very little English),"Maltese, English","Maltese, English"
Maltese +  English,"Maltese, English","Maltese, English"
Maltese + English,"Maltese, English","Maltese, English"
Maltese + Italian,"Maltese, Italian","Maltese, Italian"
Maltese / English,"Maltese, English","Maltese, English"
Maltese / English / Italian,"Maltese, English, Italian","Maltese, English, Italian"
Maltese / some Italian,"Maltese, Italian","Maltese, Italian"
Maltese English,Maltese English,Maltese English
Maltese and English,"Maltese, English","Maltese, English"
Maltese&Italian,"Maltese, Italian","Maltese, Italian"
"Maltese,
English","Maltese, English","Maltese, English"
"Maltese, Arabic","Maltese, Arabic","Maltese, Arabic"
"Maltese, English","Maltese, English","Maltese, English"
"Maltese, English, Italian","Maltese, English, Italian","Maltese, English, Italian"
"Maltese, French","Maltese, French","Maltese, French"
"Maltese, Gozitan","Maltese, Gozitan","Maltese, Gozitan"
"Maltese, Italian","Maltese, Italian","Maltese, Italian"
Maltese/ English,"Maltese, English","Maltese, English"
Maltese/English,"Maltese, English","Maltese, English"
Maltese/English/Italian,"Maltese, English, Italian","Maltese, English, Italian"
Maltese/Gozetan,"Maltese, Gozetan","Maltese, Gozetan"
Maltese/Italian,"Maltese, Italian","Maltese, Italian"
Maltese; Arabic,"Maltese, Arabic","Maltese, Arabic"
Maltese; English,"Maltese, English","Maltese, English"
Maltese; English; Italian,"Maltese, English, Italian","Maltese, English, Italian"
Maltese; Englsih,"Maltese, Englsih","Maltese, Englsih"
Maltese; Italian,"Maltese, Italian","Maltese, Italian"
Mandarin,Mandarin,Mandarin
"Mandarin, Chinese","Mandarin, Chinese","Mandarin, Chinese"
Mandarin/English,"Mandarin, English","Mandarin, English"
Manipuri,Manipuri,Manipuri
Marathi,Marathi,Marathi
Maroccan,Maroccan,Moroccan
"Maroccan, Arabic, Spanish","Maroccan, Arabic, Spanish","Moroccan, Arabic, Spanish"
"Marrocan, Spanish","Marrocan, Spanish","Moroccan, Spanish"
Maya,Maya,Maya
Mexican/Caucasian,"Mexican, Caucasian",Mexican
Mix,NA,NA
Mongolian,Mongolian,Mongolian
Montenegrin,Montenegrin,Montenegrin
Moroccan,Moroccan,Moroccan
"Mostly
English, but
some
Maltese","English, Maltese","English, Maltese"
"Mostly
English, but
some
Maltese; + Italian","English, Maltese, Italian","English, Maltese, Italian"
Mostly English / some Maltese,"English, Maltese","English, Maltese"
Mostly English / some Maltese / French,"English, Maltese, French","English, Maltese, French"
Mostly English / some Maltese / Italian,"English, Maltese, Italian","English, Maltese, Italian"
Mostly English / some Maltese / Italian / German / French,"English, Maltese, Italian, German, French","English, Maltese, Italian, German, French"
"Mostly English, but some Maltese","English, Maltese","English, Maltese"
"Mostly English, but some Maltese; Serbo-Croat","English, Maltese, Serbo-Croat","English, Maltese, Serbo-Croatian"
"Mostly English, some Maltese","English, Maltese","English, Maltese"
"Mostly English, some Maltese, some Italian","English, Maltese, Italian","English, Maltese, Italian"
"Mostly Macedonian, some English","Macedonian, English","Macedonian, English"
Mostly Maltese / some English,"Maltese, English","Maltese, English"
Mostly Maltese / some English / Italian,"Maltese, English, Italian","Maltese, English, Italian"
Mostly Maltese / some English / Turkish,"Maltese, English, Turkish","Maltese, English, Turkish"
"Mostly Maltese, but some English","Maltese, English","Maltese, English"
"Mostly Maltese, but some English; French","Maltese, English, French","Maltese, English, French"
"Mostly Maltese, but some English; Italian","Maltese, English, Italian","Maltese, English, Italian"
"Mostly Maltese, but some English; some Italian","Maltese, English, Italian","Maltese, English, Italian"
"Mostly Maltese, some English","Maltese, English","Maltese, English"
Mostly Slovenian / some English,"Slovenian, English","Slovenian, English"
"Mostly Spanish, some English","Spanish, English","Spanish, English"
Nepali,Nepali,Nepali
Nigerian+English,"Nigerian, English","Nigerian, English"
Norwegian,Norwegian,Norwegian
Notul,NA,Notul
Odiya,Odiya,Odiya
Other,NA,NA
"Other (Scots, Gaelic, English)","Scots, Gaelic, English","Scots, Gaelic, English"
Other (Shetland dialect),Shetland,Shetland
"Other(Mostly English, but also Maltese and Dutch)","English, Maltese, Dutch","English, Maltese, Dutch"
Pahadi-Hindi,Pahadi-Hindi,Pahadi-Hindi
Pahari,Pahari,Pahari
Patois,Patois,Patois
Persian,Persian,Persian
Persian (Farsi),"Persian, Farsi","Persian, Farsi"
Philippino,Philippino,Filipino
"Phillipin, English, Slovene","Phillipin, English, Slovene","Filipino, English, Slovene"
Police,Polish,Polish
Polish,Polish,Polish
"Polish, English","Polish, English","Polish, English"
"Polish, Swedish","Polish, Swedish","Polish, Swedish"
Polish/German,"Polish, German","Polish, German"
Poonchi,Poonchi,Poonchi
Portugese,Portugese,Portuguese
Portuguese,Portuguese,Portuguese
"Portuguese, English since he's 6 years old","Portuguese, English","Portuguese, English"
"Portuguese, Spanish","Portuguese, Spanish","Portuguese, Spanish"
Portuguese/German,"Portuguese, German","Portuguese, German"
Prsian,Prsian,Persian
Puerto Rican,Puerto Rican,Puerto Rican
Punjabi,Punjabi,Punjabi
Punjabi (Multani),"Punjabi, Multani",Punjabi
"Punjabi, Hindi","Punjabi, Hindi","Punjabi, Hindi"
"Punjabi,Hindi","Punjabi,Hindi","Punjabi, Hindi"
Romanian,Romanian,Romanian
"Romanian, English","Romanian, English","Romanian, English"
Russian,Russian,Russian
"Russian, English","Russian, English","Russian, English"
"Russian, Ukrainian","Russian, Ukrainian","Russian, Ukrainian"
"Russian, Ukranian","Russian, Ukranian","Russian, Ukrainian"
"Russian, with friends E",Russian,"Russian, English"
Russian/Tartarian,"Russian, Tartarian","Russian, Tartarian"
Russian/Ukrainian,"Russian, Ukrainian","Russian, Ukrainian"
S,NA,NA
Sal,Sal,Sal
Scotland,Scotland,English
Scots,Scots,Scots
Scots English,Scots English,English
"Scots, English","Scots, English","Scots, English"
Scots/English,"Scots, English","Scots, English"
Scottish,Scottish,English
Scottish English,Scottish English,English
