InformantID,Occupation,Mapped_Category
MT09-046m16,Student,Secondary Education
MT09-048m16,Student,Secondary Education
MT09-052m17,Student,Secondary Education
MT09-057m13,student,Secondary Education
MT09-126m21,student,Higher Education
MT09-137f16,student,Secondary Education
MT09-138f16,student,Secondary Education
MT09-139f16,student,Secondary Education
MT09-140m19,student,Higher Education
MT09-141f17,student,Secondary Education
MT09-143m17,student,Secondary Education
MT09-144f18,student,Higher Education
MT09-147f13,student,Secondary Education
MT09-149f16,student,Secondary Education
MT09-158m16,student,Secondary Education
MT09-159m16,student,Secondary Education
MT09-168f16,student,Secondary Education
MT09-175f16,student,Secondary Education
MT09-190f18,student,Higher Education
MT09-238f19,student,Higher Education
MT09-244f20,student,Higher Education
MT09-245f19,student,Higher Education
MT09-246f21,student,Higher Education
MT09-247m20,student,Higher Education
MT09-248f19,student,Higher Education
MT09-249f20,student,Higher Education
MT09-250f18,student,Higher Education
MT09-252f16,student,Secondary Education
MT09-300f15,Student,Secondary Education
MT09-301f14,Student,Secondary Education
MT09-305m19,Student,Higher Education
MT09-352f19,Student,Higher Education
MT13-009f20,Student,Higher Education
MT13-013m20,Student,Higher Education
MT13-033m19,Student,Higher Education
MT13-109m18,student,Higher Education
MT13-129f16,Student,Secondary Education
MT13-132f15,Student,Secondary Education
MT13-167f16,student,Secondary Education
MT13-213m18,student,Higher Education
MT13-214m20,student,Higher Education
MT13-336f14,student,Secondary Education
MT13-346f14,Student,Secondary Education
MT13-368m18,student,Higher Education
MT13-373f19,student,Higher Education
MT13-374f15,student,Secondary Education
MT13-375f12,student,Secondary Education
MT13-456f15,Student,Secondary Education
MT13-472f14,Student,Secondary Education
MT18-012f18,Student,Higher Education
MT18-083m19,Student,Higher Education
MT18-099f18,Student,Higher Education
MT18-128f17,Student,Secondary Education
MT18-212f17,Student,Secondary Education
MT23-0425,student,Higher Education
MT23-0259,student,Higher Education
MT23-0206,student,Higher Education
MT23-0097,Student,Higher Education
PR12-124m19,student,Higher Education
PR12-125f19,student,Higher Education
PR12-152m16,Student,Secondary Education
PR12-227m19,Student,Higher Education
PR12-256m18,student,Higher Education
PR12-258m16,student,Secondary Education
PR12-261m17,student,Secondary Education
PR12-480m24,student,Higher Education
SC16-125f14,Student,Secondary Education
SC16-126f13,Student,Secondary Education
SC16-218m20,Student,Higher Education
SC16-251m16,Student,Secondary Education
SC16-253m15,Student,Secondary Education
SC16-369m27,Student,Higher Education
SC16-383f19,Student,Higher Education
SI24-0645,student,Higher Education
SI24-0646,student,Higher Education
SI24-0043,student,Higher Education
SI24-0050,student,Higher Education
SI24-0032,student,Higher Education
SI24-0067,student,Higher Education
SI24-0121,student,Higher Education
SI24-0067.1,student,Higher Education
SI24-0064.1,student,Higher Education
SI24-0065.1,student,Higher Education
SI24-0058.1,student,Higher Education
SI24-0303,student,Higher Education
SI24-0241,student,Higher Education
SI24-0085,student,Higher Education
SI24-0069.1,student,Higher Education
SI24-0084,student,Higher Education
SE22-018f20,Student,Higher Education
SE22-078f17,Student,Secondary Education
SE22-083m17,Student,Secondary Education
SE22-085m18,Student,Higher Education
SE22-120f18,Student,Higher Education
SE22-123f18,Student,Higher Education
SE22-144m23,Student,Higher Education
SE22-166f19,Student,Higher Education
SE22-168m18,Student,Higher Education
SE22-200m17,Student,Secondary Education
SE22-204m17,Student,Secondary Education
SE22-214m20,Student,Higher Education
SE22-216f42,Student,Higher Education
SE22-230f17,Student,Secondary Education
SE22-231f17,Student,Secondary Education
SE22-232f22,Student,Higher Education
SE22-233f22,Student,Higher Education
SE22-235f19,Student,Higher Education
SE22-257f26,Student,Higher Education
WA10-287f18,Student,Higher Education
WA10-293f18,Student,Higher Education
WA10-299f18,Student,Higher Education
GIB10-001f15,Student,Secondary Education
GIB10-004f15,Student,Secondary Education
GIB10-005f14,Student,Secondary Education
GIB10-006f14,Student,Secondary Education
GIB10-007f14,Student,Secondary Education
GIB10-008f15,Student,Secondary Education
GIB10-010f14,Student,Secondary Education
GIB10-011f14,Student,Secondary Education
GIB10-012f15,Student,Secondary Education
GIB10-013f14,Student,Secondary Education
GIB10-015f15,Student,Secondary Education
GIB10-016f14,Student,Secondary Education
GIB10-017f14,Student,Secondary Education
GIB10-019f14,Student,Secondary Education
GIB10-020f15,Student,Secondary Education
GIB10-021f14,Student,Secondary Education
GIB10-022f14,Student,Secondary Education
GIB10-023f15,Student,Secondary Education
GIB10-024f14,Student,Secondary Education
GIB10-025f14,Student,Secondary Education
GIB10-026f14,Student,Secondary Education
GIB10-027f15,Student,Secondary Education
GIB10-028f15,Student,Secondary Education
GIB10-029f14,Student,Secondary Education
GIB10-030f14,Student,Secondary Education
GIB10-031f14,Student,Secondary Education
GIB10-032f14,Student,Secondary Education
GIB10-033f14,Student,Secondary Education
GIB10-034f15,Student,Secondary Education
GIB10-037f14,Student,Secondary Education
GIB10-038f14,Student,Secondary Education
GIB10-045m17,Student,Secondary Education
GIB10-052f16,Student,Secondary Education
GIB10-053f16,Student,Secondary Education
GIB10-054f17,Student,Secondary Education
GIB10-055m18,Student,Higher Education
GIB10-056m16,Student,Secondary Education
GIB10-057m18,Student,Higher Education
GIB10-058f18,Student,Higher Education
