Original_Qualification,Mapped_Category
High School Degree and ongoing Bachelor,Higher Education
High School Diploma,Secondary Education
"High School Diploma 
Degree in Adminstration",Higher Education
High School Diploma / CAE,Secondary Education
High School Diploma / Mechanic,Secondary Education
High School Diploma / classe préparatoire aux grandes écoles,Secondary Education
"High School Diploma, Bachelor, French baccalaureat",Higher Education
"High School Diploma, Vocational Class: Electricity",Professional/Vocational
"High School Diploma, Vocational classes: Auto Mechanics",Professional/Vocational
"High School Diploma, Work Training: Data Entry Clerk",Work-Based Learning
"High School Diploma,Bachelor",Higher Education
"High School Diploma,Bachelor,Masters",Higher Education
"High School Diploma,Other (US military training)",Work-Based Learning
High School Diploma; Bachelor,Higher Education
High School Diploma; CaE Certificate,Professional/Vocational
High School Diploma; Work training,Work-Based Learning
High School degree,Higher Education
High School diploma,Secondary Education
High School graduate,Secondary Education
High School of economics,Secondary Education
High School student,Secondary Education
High School student ??,Secondary Education
"High School, 2 year technical school",Professional/Vocational
"High School, Comercial Degree",Higher Education
"High School, Work Training",Work-Based Learning
"High School, studies in US Air Force",Secondary Education
"High School, vocational classes",Professional/Vocational
High school,Secondary Education
"High school 
diploma",Secondary Education
High school Diploma,Secondary Education
High school Higher,Secondary Education
High school Standard grade,Secondary Education
High school diploma,Secondary Education
"High school diploma, Bachelor",Higher Education
"High school diploma, some college",Professional/Vocational
High school diploma; work-hostess internship training,Work-Based Learning
High school teacher,Secondary Education
"High school, secondary school",Secondary Education
Higher,Secondary Education
Higher Certificate,Professional/Vocational
Higher Diploma,Secondary Education
Higher National Certificate,Professional/Vocational
Higher National Certificate (HNC),Professional/Vocational
Higher National Diploma,Secondary Education
Higher National Diploma (IT),Secondary Education
Higher SQA,Secondary Education
Higher School Certificate,Professional/Vocational
Higher Secondary,Secondary Education
Higher Secondary Certificate,Professional/Vocational
Higher diploma,Secondary Education
Higher education,Secondary Education
Higher secondary,Secondary Education
"Higher, Bachelor",Higher Education
"Higher, HND",Professional/Vocational
Highers,Secondary Education
"Highers, Professional Qualification BA Equivalent",Higher Education
"Highers, Secondary School",Secondary Education
Highest level at SS (vermutlich secondary school),Secondary Education
Highest level at secondary school,Secondary Education
"Highest level at secondary school, Bachelor",Higher Education
Highest level at secondary school:  Advanced Higher; Master's,Higher Education
Highest level at secondary school: 6th year/Advanced Higher,Secondary Education
Highest level at secondary school: A-Level; MbChB,Higher Education
Highest level at secondary school: A-Levels,Secondary Education
Highest level at secondary school: Advanced Higher,Secondary Education
Highest level at secondary school: Advanced Higher; Bachelor,Higher Education
Highest level at secondary school: Advanced Higher; Bachelor; Master's,Higher Education
Highest level at secondary school: Advanced Higher; Master's,Higher Education
Highest level at secondary school: Advanced Higher; Master's; PhD,Higher Education
Highest level at secondary school: Four,Secondary Education
Highest level at secondary school: GCSE,Secondary Education
Highest level at secondary school: Higher,Secondary Education
Highest level at secondary school: Higher grades,Secondary Education
Highest level at secondary school: Higher; Other: College NC,Professional/Vocational
